Key,Section,Weight,Area,depth,bflange,tweb,tflange,kdes,bf_2tf,h_tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,JModulus,Cw,Qf,Qw,rts,ho
32,W10X39,39.00,11.50,9.92,7.99,0.32,0.53,1.03,7.53,25.00,209.00,46.80,42.10,4.27,45.00,17.20,11.30,1.98,0.98,992.00,9.55,23.00,2.24,9.39
33,W10X45,45.00,13.30,10.10,8.02,0.35,0.62,1.12,6.47,22.50,248.00,54.90,49.10,4.32,53.40,20.30,13.30,2.01,1.51,1200.00,11.30,27.00,2.27,9.48
34,W10X49,49.00,14.40,10.00,10.00,0.34,0.56,1.06,8.93,23.10,272.00,60.40,54.60,4.35,93.40,28.30,18.70,2.54,1.39,2070.00,12.80,29.80,2.84,9.44
35,W10X54,54.00,15.80,10.10,10.00,0.37,0.62,1.12,8.15,21.20,303.00,66.60,60.00,4.37,103.00,31.30,20.60,2.56,1.82,2320.00,14.00,32.80,2.85,9.49
36,W10X60,60.00,17.70,10.20,10.10,0.42,0.68,1.18,7.41,18.70,341.00,74.60,66.70,4.39,116.00,35.00,23.00,2.57,2.48,2640.00,15.70,36.80,2.88,9.52
37,W10X68,68.00,19.90,10.40,10.10,0.47,0.77,1.27,6.58,16.70,394.00,85.30,75.70,4.44,134.00,40.10,26.40,2.59,3.56,3100.00,17.90,42.10,2.92,9.63
38,W10X77,77.00,22.70,10.60,10.20,0.53,0.87,1.37,5.86,14.80,455.00,97.60,85.90,4.49,154.00,45.90,30.10,2.60,5.11,3630.00,20.50,48.40,2.95,9.73
39,W10X88,88.00,26.00,10.80,10.30,0.61,0.99,1.49,5.18,13.00,534.00,113.00,98.50,4.54,179.00,53.10,34.80,2.63,7.53,4330.00,23.50,55.90,2.99,9.81
40,W10X100,100.00,29.30,11.10,10.30,0.68,1.12,1.62,4.62,11.60,623.00,130.00,112.00,4.60,207.00,61.00,40.00,2.65,10.90,5150.00,26.90,64.20,3.04,10.00
41,W10X112,112.00,32.90,11.40,10.40,0.76,1.25,1.75,4.17,10.40,716.00,147.00,126.00,4.66,236.00,69.20,45.30,2.68,15.10,6020.00,30.60,73.50,3.08,10.20
42,W12X14,14.00,4.16,11.90,3.97,0.20,0.23,0.53,8.82,54.30,88.60,17.40,14.90,4.62,2.36,1.90,1.19,0.75,0.07,80.40,2.48,8.49,0.96,11.70
43,W12X16,16.00,4.71,12.00,3.99,0.22,0.27,0.57,7.53,49.40,103.00,20.10,17.10,4.67,2.82,2.26,1.41,0.77,0.10,96.90,2.93,9.82,0.98,11.70
44,W12X19,19.00,5.57,12.20,4.01,0.24,0.35,0.65,5.72,46.20,130.00,24.70,21.30,4.82,3.76,2.98,1.88,0.82,0.18,131.00,3.91,12.20,1.02,11.90
45,W12X22,22.00,6.48,12.30,4.03,0.26,0.43,0.73,4.74,41.80,156.00,29.30,25.40,4.91,4.66,3.66,2.31,0.85,0.29,164.00,4.76,14.40,1.04,11.90
46,W12X26,26.00,7.65,12.20,6.49,0.23,0.38,0.68,8.54,47.20,204.00,37.20,33.40,5.17,17.30,8.17,5.34,1.51,0.30,607.00,7.03,18.30,1.75,11.80
47,W12X30,30.00,8.79,12.30,6.52,0.26,0.44,0.74,7.41,41.80,238.00,43.10,38.60,5.21,20.30,9.56,6.24,1.52,0.46,720.00,8.17,21.30,1.77,11.90
48,W12X35,35.00,10.30,12.50,6.56,0.30,0.52,0.82,6.31,36.20,285.00,51.20,45.60,5.25,24.50,11.50,7.47,1.54,0.74,879.00,9.75,25.40,1.79,12.00
49,W12X40,40.00,11.70,11.90,8.01,0.30,0.52,1.02,7.77,33.60,307.00,57.00,51.50,5.13,44.10,16.80,11.00,1.94,0.91,1440.00,11.30,27.80,2.21,11.40
50,W12X45,45.00,13.10,12.10,8.05,0.34,0.58,1.08,7.00,29.60,348.00,64.20,57.70,5.15,50.00,19.00,12.40,1.95,1.26,1650.00,12.80,31.70,2.23,11.50
51,W12X50,50.00,14.60,12.20,8.08,0.37,0.64,1.14,6.31,26.80,391.00,71.90,64.20,5.18,56.30,21.30,13.90,1.96,1.71,1880.00,14.30,35.40,2.25,11.60
52,W12X53,53.00,15.60,12.10,10.00,0.35,0.58,1.18,8.69,28.10,425.00,77.90,70.60,5.23,95.80,29.10,19.20,2.48,1.58,3160.00,16.00,38.30,2.79,11.50
53,W12X58,58.00,17.00,12.20,10.00,0.36,0.64,1.24,7.82,27.00,475.00,86.40,78.00,5.28,107.00,32.50,21.40,2.51,2.10,3570.00,17.80,42.40,2.81,11.60
54,W12X65,65.00,19.10,12.10,12.00,0.39,0.61,1.20,9.92,24.90,533.00,96.80,87.90,5.28,174.00,44.10,29.10,3.02,2.18,5780.00,20.20,47.50,3.38,11.50
55,W12X72,72.00,21.10,12.30,12.00,0.43,0.67,1.27,8.99,22.60,597.00,108.00,97.40,5.31,195.00,49.20,32.40,3.04,2.93,6540.00,22.50,53.20,3.41,11.60
56,W12X79,79.00,23.20,12.40,12.10,0.47,0.74,1.33,8.22,20.70,662.00,119.00,107.00,5.34,216.00,54.30,35.80,3.05,3.84,7330.00,24.90,58.90,3.43,11.70
57,W12X87,87.00,25.60,12.50,12.10,0.52,0.81,1.41,7.48,18.90,740.00,132.00,118.00,5.38,241.00,60.40,39.70,3.07,5.10,8270.00,27.40,64.90,3.46,11.70
58,W12X96,96.00,28.20,12.70,12.20,0.55,0.90,1.50,6.76,17.70,833.00,147.00,131.00,5.44,270.00,67.50,44.40,3.09,6.85,9410.00,30.90,73.00,3.49,11.80
59,W12X106,106.00,31.20,12.90,12.20,0.61,0.99,1.59,6.17,15.90,933.00,164.00,145.00,5.47,301.00,75.10,49.30,3.11,9.13,10700.00,34.20,81.00,3.52,11.90
60,W12X120,120.00,35.20,13.10,12.30,0.71,1.11,1.70,5.57,13.70,1070.00,186.00,163.00,5.51,345.00,85.40,56.00,3.13,12.90,12400.00,38.60,92.40,3.56,12.00
61,W12X136,136.00,39.90,13.40,12.40,0.79,1.25,1.85,4.96,12.30,1240.00,214.00,186.00,5.58,398.00,98.00,64.20,3.16,18.50,14700.00,44.10,106.00,3.61,12.20
62,W12X152,152.00,44.70,13.70,12.50,0.87,1.40,2.00,4.46,11.20,1430.00,243.00,209.00,5.66,454.00,111.00,72.80,3.19,25.80,17200.00,50.10,121.00,3.66,12.30
63,W12X170,170.00,50.00,14.00,12.60,0.96,1.56,2.16,4.03,10.10,1650.00,275.00,235.00,5.74,517.00,126.00,82.30,3.22,35.60,20100.00,56.50,136.00,3.70,12.40
64,W12X190,190.00,56.00,14.40,12.70,1.06,1.74,2.33,3.65,9.16,1890.00,311.00,263.00,5.82,589.00,143.00,93.00,3.25,48.80,23600.00,64.10,156.00,3.77,12.70
65,W12X210,210.00,61.80,14.70,12.80,1.18,1.90,2.50,3.37,8.23,2140.00,348.00,292.00,5.89,664.00,159.00,104.00,3.28,64.70,27200.00,70.60,173.00,3.81,12.80
66,W12X230,230.00,67.70,15.10,12.90,1.29,2.07,2.67,3.11,7.56,2420.00,386.00,321.00,5.97,742.00,177.00,115.00,3.31,83.80,31200.00,78.30,193.00,3.87,13.00
